"sys_created_on","date","street_name","traffic_flow"
"2024-07-13 14:00:02","2024-07-13 14:00:02","Orange Blossom Trail","12 mins"
"2024-07-13 14:00:02","2024-07-13 14:00:02","Colonial Dr","16 mins"
"2024-07-13 14:00:02","2024-07-13 14:00:02","Orange Ave","14 mins"
"2024-07-13 09:00:02","2024-07-13 09:00:02","Colonial Dr","16 mins"
"2024-07-13 09:00:01","2024-07-13 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-13 09:00:01","2024-07-13 09:00:01","Orange Ave","15 mins"
"2024-07-13 04:00:03","2024-07-13 04:00:03","Colonial Dr","15 mins"
"2024-07-13 04:00:03","2024-07-13 04:00:03","Orange Ave","12 mins"
"2024-07-13 04:00:03","2024-07-13 04:00:03","Orange Blossom Trail","12 mins"
"2024-07-12 14:00:01","2024-07-12 14:00:01","Colonial Dr","20 mins"
"2024-07-12 14:00:00","2024-07-12 14:00:00","Orange Ave","19 mins"
"2024-07-12 14:00:00","2024-07-12 14:00:00","Orange Blossom Trail","13 mins"
"2024-07-12 09:23:47","2024-07-12 09:23:47","Orange Ave","18 mins"
"2024-07-12 09:23:47","2024-07-12 09:23:47","Colonial Dr","18 mins"
"2024-07-12 09:23:47","2024-07-12 09:23:47","Orange Blossom Trail","13 mins"
"2024-07-12 09:20:52","2024-07-12 09:20:52","Orange Ave","17 mins"
"2024-07-12 09:20:52","2024-07-12 09:20:52","Colonial Dr","17 mins"
"2024-07-12 09:20:52","2024-07-12 09:20:52","Orange Blossom Trail","13 mins"
"2024-07-12 09:00:01","2024-07-12 09:00:01","Colonial Dr","18 mins"
"2024-07-12 09:00:01","2024-07-12 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-12 09:00:00","2024-07-12 09:00:00","Orange Ave","18 mins"
"2024-07-12 04:00:01","2024-07-12 04:00:01","Colonial Dr","15 mins"
"2024-07-12 04:00:01","2024-07-12 04:00:01","Orange Blossom Trail","14 mins"
"2024-07-12 04:00:00","2024-07-12 04:00:00","Orange Ave","15 mins"
"2024-07-11 14:00:01","2024-07-11 14:00:01","Colonial Dr","23 mins"
"2024-07-11 14:00:01","2024-07-11 14:00:01","Orange Blossom Trail","15 mins"
"2024-07-11 14:00:00","2024-07-11 14:00:00","Orange Ave","17 mins"
"2024-07-11 09:00:01","2024-07-11 09:00:01","Colonial Dr","17 mins"
"2024-07-11 09:00:00","2024-07-11 09:00:00","Orange Blossom Trail","14 mins"
"2024-07-11 09:00:00","2024-07-11 09:00:00","Orange Ave","16 mins"
"2024-07-11 04:00:03","2024-07-11 04:00:03","Colonial Dr","15 mins"
"2024-07-11 04:00:02","2024-07-11 04:00:02","Orange Ave","15 mins"
"2024-07-11 04:00:02","2024-07-11 04:00:02","Orange Blossom Trail","12 mins"
"2024-07-10 14:00:01","2024-07-10 14:00:01","Colonial Dr","25 mins"
"2024-07-10 14:00:01","2024-07-10 14:00:01","Orange Ave","18 mins"
"2024-07-10 14:00:01","2024-07-10 14:00:01","Orange Blossom Trail","20 mins"
"2024-07-10 09:00:03","2024-07-10 09:00:03","Colonial Dr","16 mins"
"2024-07-10 09:00:03","2024-07-10 09:00:03","Orange Ave","17 mins"
"2024-07-10 09:00:03","2024-07-10 09:00:03","Orange Blossom Trail","15 mins"
"2024-07-10 04:00:01","2024-07-10 04:00:01","Colonial Dr","16 mins"
"2024-07-10 04:00:01","2024-07-10 04:00:01","Orange Blossom Trail","13 mins"
"2024-07-10 04:00:01","2024-07-10 04:00:01","Orange Ave","15 mins"
"2024-07-09 14:00:03","2024-07-09 14:00:03","Colonial Dr","25 mins"
"2024-07-09 14:00:03","2024-07-09 14:00:03","Orange Blossom Trail","15 mins"
"2024-07-09 14:00:02","2024-07-09 14:00:02","Orange Ave","20 mins"
"2024-07-09 09:00:02","2024-07-09 09:00:02","Orange Blossom Trail","13 mins"
"2024-07-09 09:00:02","2024-07-09 09:00:02","Orange Ave","16 mins"
"2024-07-09 09:00:02","2024-07-09 09:00:02","Colonial Dr","16 mins"
"2024-07-09 04:00:01","2024-07-09 04:00:01","Colonial Dr","16 mins"
"2024-07-09 04:00:00","2024-07-09 04:00:00","Orange Ave","15 mins"
"2024-07-09 04:00:00","2024-07-09 04:00:00","Orange Blossom Trail","12 mins"
"2024-07-08 14:00:02","2024-07-08 14:00:02","Orange Ave","21 mins"
"2024-07-08 14:00:02","2024-07-08 14:00:02","Orange Blossom Trail","14 mins"
"2024-07-08 14:00:02","2024-07-08 14:00:02","Colonial Dr","24 mins"
"2024-07-08 09:00:01","2024-07-08 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-08 09:00:01","2024-07-08 09:00:01","Orange Ave","16 mins"
"2024-07-08 09:00:01","2024-07-08 09:00:01","Colonial Dr","16 mins"
"2024-07-08 04:00:02","2024-07-08 04:00:02","Colonial Dr","15 mins"
"2024-07-08 04:00:02","2024-07-08 04:00:02","Orange Ave","15 mins"
"2024-07-08 04:00:02","2024-07-08 04:00:02","Orange Blossom Trail","11 mins"
"2024-07-07 14:00:02","2024-07-07 14:00:02","Colonial Dr","16 mins"
"2024-07-07 14:00:01","2024-07-07 14:00:01","Orange Blossom Trail","11 mins"
"2024-07-07 14:00:01","2024-07-07 14:00:01","Orange Ave","14 mins"
"2024-07-07 09:00:01","2024-07-07 09:00:01","Orange Ave","13 mins"
"2024-07-07 09:00:01","2024-07-07 09:00:01","Colonial Dr","15 mins"
"2024-07-07 09:00:01","2024-07-07 09:00:01","Orange Blossom Trail","12 mins"
"2024-07-07 04:00:02","2024-07-07 04:00:02","Orange Ave","12 mins"
"2024-07-07 04:00:02","2024-07-07 04:00:02","Orange Blossom Trail","10 mins"
"2024-07-07 04:00:02","2024-07-07 04:00:02","Colonial Dr","14 mins"
"2024-07-06 14:00:02","2024-07-06 14:00:02","Orange Blossom Trail","12 mins"
"2024-07-06 14:00:02","2024-07-06 14:00:02","Colonial Dr","16 mins"
"2024-07-06 14:00:01","2024-07-06 14:00:01","Orange Ave","14 mins"
"2024-07-06 09:00:01","2024-07-06 09:00:01","Orange Blossom Trail","12 mins"
"2024-07-06 09:00:01","2024-07-06 09:00:01","Colonial Dr","16 mins"
"2024-07-06 09:00:01","2024-07-06 09:00:01","Orange Ave","15 mins"
"2024-07-06 04:00:02","2024-07-06 04:00:02","Colonial Dr","14 mins"
"2024-07-06 04:00:01","2024-07-06 04:00:01","Orange Blossom Trail","11 mins"
"2024-07-06 04:00:01","2024-07-06 04:00:01","Orange Ave","12 mins"
"2024-07-05 14:00:01","2024-07-05 14:00:01","Colonial Dr","17 mins"
"2024-07-05 14:00:01","2024-07-05 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-05 14:00:01","2024-07-05 14:00:01","Orange Ave","16 mins"
"2024-07-05 09:00:01","2024-07-05 09:00:01","Orange Ave","16 mins"
"2024-07-05 09:00:01","2024-07-05 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-05 09:00:01","2024-07-05 09:00:01","Colonial Dr","16 mins"
"2024-07-05 04:00:02","2024-07-05 04:00:02","Colonial Dr","15 mins"
"2024-07-05 04:00:02","2024-07-05 04:00:02","Orange Ave","14 mins"
"2024-07-05 04:00:02","2024-07-05 04:00:02","Orange Blossom Trail","12 mins"
"2024-07-04 14:00:01","2024-07-04 14:00:01","Colonial Dr","16 mins"
"2024-07-04 14:00:00","2024-07-04 14:00:00","Orange Blossom Trail","13 mins"
"2024-07-04 14:00:00","2024-07-04 14:00:00","Orange Ave","18 mins"
"2024-07-04 09:00:02","2024-07-04 09:00:02","Orange Blossom Trail","13 mins"
"2024-07-04 09:00:02","2024-07-04 09:00:02","Colonial Dr","15 mins"
"2024-07-04 09:00:01","2024-07-04 09:00:01","Orange Ave","16 mins"
"2024-07-04 04:00:02","2024-07-04 04:00:02","Orange Blossom Trail","11 mins"
"2024-07-04 04:00:02","2024-07-04 04:00:02","Colonial Dr","15 mins"
"2024-07-04 04:00:02","2024-07-04 04:00:02","Orange Ave","13 mins"
"2024-07-03 14:00:01","2024-07-03 14:00:01","Orange Ave","17 mins"
"2024-07-03 14:00:01","2024-07-03 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-03 14:00:01","2024-07-03 14:00:01","Colonial Dr","21 mins"
"2024-07-03 09:00:01","2024-07-03 09:00:01","Colonial Dr","16 mins"
"2024-07-03 09:00:01","2024-07-03 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-03 09:00:01","2024-07-03 09:00:01","Orange Ave","16 mins"
"2024-07-03 04:00:02","2024-07-03 04:00:02","Orange Blossom Trail","12 mins"
"2024-07-03 04:00:02","2024-07-03 04:00:02","Orange Ave","15 mins"
"2024-07-03 04:00:02","2024-07-03 04:00:02","Colonial Dr","16 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Colonial Dr","20 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Orange Ave","18 mins"
"2024-07-02 09:00:01","2024-07-02 09:00:01","Orange Ave","17 mins"
"2024-07-02 09:00:01","2024-07-02 09:00:01","Colonial Dr","17 mins"
"2024-07-02 09:00:01","2024-07-02 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-02 07:04:56","2024-07-02 07:04:56","Colonial Dr","16 mins"
"2024-07-02 07:04:55","2024-07-02 07:04:55","Orange Ave","15 mins"
"2024-07-02 07:04:55","2024-07-02 07:04:55","Orange Blossom Trail","12 mins"
"2024-07-02 04:00:02","2024-07-02 04:00:02","Colonial Dr","15 mins"
"2024-07-02 04:00:02","2024-07-02 04:00:02","Orange Blossom Trail","12 mins"
"2024-07-02 04:00:02","2024-07-02 04:00:02","Orange Ave","15 mins"
"2024-07-01 14:00:02","2024-07-01 14:00:02","Colonial Dr","19 mins"
"2024-07-01 14:00:01","2024-07-01 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-01 14:00:01","2024-07-01 14:00:01","Orange Ave","18 mins"
"2024-07-01 09:00:01","2024-07-01 09:00:01","Colonial Dr","16 mins"
"2024-07-01 09:00:00","2024-07-01 09:00:00","Orange Ave","15 mins"
"2024-07-01 09:00:00","2024-07-01 09:00:00","Orange Blossom Trail","13 mins"
"2024-07-01 04:00:03","2024-07-01 04:00:03","Colonial Dr","15 mins"
"2024-07-01 04:00:03","2024-07-01 04:00:03","Orange Blossom Trail","12 mins"
"2024-07-01 04:00:03","2024-07-01 04:00:03","Orange Ave","14 mins"
"2024-06-30 14:00:01","2024-06-30 14:00:01","Orange Blossom Trail","11 mins"
"2024-06-30 14:00:01","2024-06-30 14:00:01","Colonial Dr","15 mins"
"2024-06-30 14:00:00","2024-06-30 14:00:00","Orange Ave","14 mins"
"2024-06-30 09:00:02","2024-06-30 09:00:02","Orange Ave","14 mins"
"2024-06-30 09:00:02","2024-06-30 09:00:02","Colonial Dr","15 mins"
"2024-06-30 09:00:02","2024-06-30 09:00:02","Orange Blossom Trail","12 mins"
"2024-06-30 04:00:03","2024-06-30 04:00:03","Orange Ave","12 mins"
"2024-06-30 04:00:03","2024-06-30 04:00:03","Orange Blossom Trail","10 mins"
"2024-06-30 04:00:03","2024-06-30 04:00:03","Colonial Dr","14 mins"
"2024-06-29 14:00:01","2024-06-29 14:00:01","Orange Ave","14 mins"
"2024-06-29 14:00:01","2024-06-29 14:00:01","Colonial Dr","16 mins"
"2024-06-29 14:00:01","2024-06-29 14:00:01","Orange Blossom Trail","12 mins"
"2024-06-29 09:00:02","2024-06-29 09:00:02","Colonial Dr","16 mins"
"2024-06-29 09:00:02","2024-06-29 09:00:02","Orange Blossom Trail","12 mins"
"2024-06-29 09:00:02","2024-06-29 09:00:02","Orange Ave","15 mins"
"2024-06-29 04:00:02","2024-06-29 04:00:02","Orange Ave","13 mins"
"2024-06-29 04:00:02","2024-06-29 04:00:02","Colonial Dr","14 mins"
"2024-06-29 04:00:02","2024-06-29 04:00:02","Orange Blossom Trail","11 mins"
"2024-06-28 14:00:02","2024-06-28 14:00:02","Orange Blossom Trail","13 mins"
"2024-06-28 14:00:02","2024-06-28 14:00:02","Orange Ave","17 mins"
"2024-06-28 14:00:02","2024-06-28 14:00:02","Colonial Dr","18 mins"
"2024-06-28 09:00:01","2024-06-28 09:00:01","Orange Ave","19 mins"
"2024-06-28 09:00:01","2024-06-28 09:00:01","Colonial Dr","16 mins"
"2024-06-28 09:00:01","2024-06-28 09:00:01","Orange Blossom Trail","13 mins"
"2024-06-28 04:00:02","2024-06-28 04:00:02","Colonial Dr","15 mins"
"2024-06-28 04:00:02","2024-06-28 04:00:02","Orange Blossom Trail","11 mins"
"2024-06-28 04:00:01","2024-06-28 04:00:01","Orange Ave","14 mins"
"2024-06-27 14:00:02","2024-06-27 14:00:02","Orange Ave","19 mins"
"2024-06-27 14:00:02","2024-06-27 14:00:02","Orange Blossom Trail","13 mins"
"2024-06-27 14:00:02","2024-06-27 14:00:02","Colonial Dr","22 mins"
"2024-06-27 09:00:02","2024-06-27 09:00:02","Colonial Dr","17 mins"
"2024-06-27 09:00:01","2024-06-27 09:00:01","Orange Blossom Trail","13 mins"
"2024-06-27 09:00:01","2024-06-27 09:00:01","Orange Ave","16 mins"
"2024-06-27 04:00:02","2024-06-27 04:00:02","Orange Blossom Trail","12 mins"
"2024-06-27 04:00:02","2024-06-27 04:00:02","Colonial Dr","16 mins"
"2024-06-27 04:00:01","2024-06-27 04:00:01","Orange Ave","14 mins"
"2024-06-26 14:00:01","2024-06-26 14:00:01","Orange Ave","21 mins"
"2024-06-26 14:00:01","2024-06-26 14:00:01","Colonial Dr","19 mins"
"2024-06-26 14:00:01","2024-06-26 14:00:01","Orange Blossom Trail","13 mins"
"2024-06-26 09:00:02","2024-06-26 09:00:02","Orange Blossom Trail","13 mins"
"2024-06-26 09:00:02","2024-06-26 09:00:02","Orange Ave","17 mins"
"2024-06-26 09:00:02","2024-06-26 09:00:02","Colonial Dr","16 mins"
"2024-06-26 04:00:02","2024-06-26 04:00:02","Orange Blossom Trail","12 mins"
"2024-06-26 04:00:02","2024-06-26 04:00:02","Colonial Dr","17 mins"
"2024-06-26 04:00:01","2024-06-26 04:00:01","Orange Ave","14 mins"
"2024-06-25 14:00:02","2024-06-25 14:00:02","Colonial Dr","20 mins"
"2024-06-25 14:00:02","2024-06-25 14:00:02","Orange Ave","19 mins"
"2024-06-25 14:00:02","2024-06-25 14:00:02","Orange Blossom Trail","13 mins"
"2024-06-25 09:00:02","2024-06-25 09:00:02","Colonial Dr","16 mins"
"2024-06-25 09:00:02","2024-06-25 09:00:02","Orange Blossom Trail","13 mins"
"2024-06-25 09:00:01","2024-06-25 09:00:01","Orange Ave","16 mins"
"2024-06-25 04:00:02","2024-06-25 04:00:02","Orange Ave","15 mins"
"2024-06-25 04:00:02","2024-06-25 04:00:02","Orange Blossom Trail","12 mins"
"2024-06-25 04:00:02","2024-06-25 04:00:02","Colonial Dr","15 mins"
"2024-06-24 14:00:01","2024-06-24 14:00:01","Orange Blossom Trail","13 mins"
"2024-06-24 14:00:01","2024-06-24 14:00:01","Colonial Dr","26 mins"
"2024-06-24 14:00:00","2024-06-24 14:00:00","Orange Ave","17 mins"
"2024-06-24 09:00:02","2024-06-24 09:00:02","Orange Blossom Trail","13 mins"
"2024-06-24 09:00:02","2024-06-24 09:00:02","Orange Ave","15 mins"
"2024-06-24 09:00:02","2024-06-24 09:00:02","Colonial Dr","16 mins"
"2024-06-24 04:00:01","2024-06-24 04:00:01","Orange Ave","14 mins"
"2024-06-24 04:00:01","2024-06-24 04:00:01","Orange Blossom Trail","12 mins"
"2024-06-24 04:00:01","2024-06-24 04:00:01","Colonial Dr","16 mins"
"2024-06-23 14:00:01","2024-06-23 14:00:01","Colonial Dr","15 mins"
"2024-06-23 14:00:01","2024-06-23 14:00:01","Orange Ave","13 mins"
"2024-06-23 14:00:01","2024-06-23 14:00:01","Orange Blossom Trail","11 mins"
"2024-06-23 10:50:10","2024-06-23 10:50:10","Colonial Dr","17 mins"
"2024-06-23 10:50:10","2024-06-23 10:50:10","Orange Blossom Trail","12 mins"
"2024-06-23 10:50:09","2024-06-23 10:50:09","Orange Ave","16 mins"
"2024-06-23 10:49:53","2024-06-23 10:49:53","Orange Ave","16 mins"
"2024-06-23 10:49:53","2024-06-23 10:49:53","Orange Blossom Trail","12 mins"
"2024-06-23 10:49:53","2024-06-23 10:49:53","Colonial Dr","17 mins"
"2024-06-23 10:34:00","2024-06-23 10:34:00","Colonial Dr","16 mins"
"2024-06-23 10:34:00","2024-06-23 10:34:00","Orange Ave","14 mins"
"2024-06-23 10:34:00","2024-06-23 10:34:00","Orange Blossom Trail","12 mins"
"2024-06-23 10:33:54","2024-06-23 10:33:54","Colonial Dr","16 mins"
"2024-06-23 10:33:53","2024-06-23 10:33:53","Orange Blossom Trail","12 mins"
"2024-06-23 10:33:53","2024-06-23 10:33:53","Orange Ave","14 mins"
"2024-06-23 10:30:53","2024-06-23 10:30:53","Colonial Dr","15 mins"
"2024-06-23 10:30:53","2024-06-23 10:30:53","Orange Ave","14 mins"
"2024-06-23 10:30:53","2024-06-23 10:30:53","Orange Blossom Trail","12 mins"
"2024-06-23 10:29:00","2024-06-23 10:29:00","Orange Blossom Trail","12 mins"
"2024-06-23 10:29:00","2024-06-23 10:29:00","Colonial Dr","16 mins"
"2024-06-23 10:29:00","2024-06-23 10:29:00","Orange Ave","14 mins"
"2024-06-23 10:27:42","2024-06-23 10:27:42","Orange Ave","14 mins"
"2024-06-23 10:27:42","2024-06-23 10:27:42","Orange Blossom Trail","12 mins"
"2024-06-23 10:27:42","2024-06-23 10:27:42","Colonial Dr","15 mins"
"2024-06-23 10:26:43","2024-06-23 10:26:43","Orange Blossom Trail","12 mins"
"2024-06-23 10:26:43","2024-06-23 10:26:43","Colonial Dr","15 mins"
"2024-06-23 10:26:43","2024-06-23 10:26:43","Orange Ave","14 mins"
"2024-06-23 10:23:51","2024-06-23 10:23:51","Orange Blossom Trail","12 mins"
"2024-06-23 10:23:51","2024-06-23 10:23:51","Colonial Dr","16 mins"
"2024-06-23 10:23:51","2024-06-23 10:23:51","Orange Ave","14 mins"
"2024-06-23 10:20:07","2024-06-23 10:20:07","Colonial Dr","16 mins"
"2024-06-23 10:20:07","2024-06-23 10:20:07","Orange Ave","14 mins"
"2024-06-23 10:20:07","2024-06-23 10:20:07","Orange Blossom Trail","12 mins"
"2024-06-23 10:19:41","2024-06-23 10:19:41","Orange Blossom Trail","12 mins"
"2024-06-23 10:19:41","2024-06-23 10:19:41","Orange Ave","14 mins"
"2024-06-23 10:19:41","2024-06-23 10:19:41","Colonial Dr","16 mins"
"2024-06-23 10:18:30","2024-06-23 10:18:30","Orange Ave","14 mins"
"2024-06-23 10:18:30","2024-06-23 10:18:30","Orange Blossom Trail","12 mins"
"2024-06-23 10:18:30","2024-06-23 10:18:30","Colonial Dr","16 mins"
"2024-06-23 10:17:11","2024-06-23 10:17:11","Orange Blossom Trail","12 mins"
"2024-06-23 10:17:11","2024-06-23 10:17:11","Orange Ave","16 mins"
"2024-06-23 10:17:11","2024-06-23 10:17:11","Colonial Dr","16 mins"
"2024-06-23 10:15:32","2024-06-23 10:15:32","Orange Ave","15 mins"
"2024-06-23 10:15:32","2024-06-23 10:15:32","Orange Blossom Trail","12 mins"
"2024-06-23 10:15:32","2024-06-23 10:15:32","Colonial Dr","16 mins"
"2024-06-23 10:14:40","2024-06-23 10:14:40","Orange Blossom Trail","12 mins"
"2024-06-23 10:14:40","2024-06-23 10:14:40","Colonial Dr","16 mins"
"2024-06-23 10:14:40","2024-06-23 10:14:40","Orange Ave","15 mins"
"2024-06-23 10:13:18","2024-06-23 10:13:18","Colonial Dr","16 mins"
"2024-06-23 10:13:18","2024-06-23 10:13:18","Orange Blossom Trail","12 mins"
"2024-06-23 10:13:18","2024-06-23 10:13:18","Orange Ave","15 mins"
"2024-06-23 10:11:53","2024-06-23 10:11:53","Orange Blossom Trail","12 mins"
"2024-06-23 10:11:53","2024-06-23 10:11:53","Colonial Dr","16 mins"
"2024-06-23 10:11:53","2024-06-23 10:11:53","Orange Ave","14 mins"
"2024-06-23 10:11:04","2024-06-23 10:11:04","Orange Blossom Trail","12 mins"
"2024-06-23 10:11:04","2024-06-23 10:11:04","Orange Ave","15 mins"
"2024-06-23 10:11:04","2024-06-23 10:11:04","Colonial Dr","16 mins"
"2024-06-23 09:58:41","2024-06-23 09:58:41","Orange Blossom Trail","12 mins"
"2024-06-23 09:58:41","2024-06-23 09:58:41","Orange Ave","15 mins"
"2024-06-23 09:58:41","2024-06-23 09:58:41","Colonial Dr","16 mins"
"2024-06-23 09:00:01","2024-06-23 09:00:01","Colonial Dr","15 mins"
"2024-06-23 09:00:01","2024-06-23 09:00:01","Orange Blossom Trail","12 mins"
"2024-06-23 09:00:01","2024-06-23 09:00:01","Orange Ave","14 mins"
"2024-06-23 04:00:03","2024-06-23 04:00:03","Orange Blossom Trail","10 mins"
"2024-06-23 04:00:03","2024-06-23 04:00:03","Colonial Dr","14 mins"
"2024-06-23 04:00:02","2024-06-23 04:00:02","Orange Ave","12 mins"
"2024-06-22 14:00:01","2024-06-22 14:00:01","Orange Blossom Trail","12 mins"
"2024-06-22 14:00:01","2024-06-22 14:00:01","Colonial Dr","16 mins"
"2024-06-22 14:00:00","2024-06-22 14:00:00","Orange Ave","14 mins"
"2024-06-22 09:00:02","2024-06-22 09:00:02","Orange Ave","15 mins"
"2024-06-22 09:00:02","2024-06-22 09:00:02","Orange Blossom Trail","13 mins"
"2024-06-22 09:00:02","2024-06-22 09:00:02","Colonial Dr","16 mins"
"2024-06-22 04:00:02","2024-06-22 04:00:02","Colonial Dr","14 mins"
"2024-06-22 04:00:01","2024-06-22 04:00:01","Orange Blossom Trail","11 mins"
"2024-06-22 04:00:01","2024-06-22 04:00:01","Orange Ave","12 mins"
"2024-06-21 14:00:02","2024-06-21 14:00:02","Colonial Dr","19 mins"
"2024-06-21 14:00:01","2024-06-21 14:00:01","Orange Ave","18 mins"
"2024-06-21 14:00:01","2024-06-21 14:00:01","Orange Blossom Trail","13 mins"
"2024-06-21 09:00:01","2024-06-21 09:00:01","Colonial Dr","17 mins"
"2024-06-21 09:00:00","2024-06-21 09:00:00","Orange Blossom Trail","13 mins"
"2024-06-21 09:00:00","2024-06-21 09:00:00","Orange Ave","19 mins"
"2024-06-21 04:00:02","2024-06-21 04:00:02","Orange Blossom Trail","12 mins"
"2024-06-21 04:00:02","2024-06-21 04:00:02","Colonial Dr","15 mins"
"2024-06-21 04:00:01","2024-06-21 04:00:01","Orange Ave","15 mins"
"2024-06-20 14:00:03","2024-06-20 14:00:03","Orange Blossom Trail","12 mins"
"2024-06-20 14:00:03","2024-06-20 14:00:03","Colonial Dr","21 mins"
"2024-06-20 14:00:02","2024-06-20 14:00:02","Orange Ave","19 mins"
"2024-06-20 09:00:01","2024-06-20 09:00:01","Orange Ave","21 mins"
"2024-06-20 09:00:01","2024-06-20 09:00:01","Colonial Dr","16 mins"
"2024-06-20 09:00:01","2024-06-20 09:00:01","Orange Blossom Trail","13 mins"
"2024-06-20 04:00:01","2024-06-20 04:00:01","Colonial Dr","16 mins"
"2024-06-20 04:00:01","2024-06-20 04:00:01","Orange Blossom Trail","12 mins"
"2024-06-20 04:00:00","2024-06-20 04:00:00","Orange Ave","15 mins"
"2024-06-19 14:00:02","2024-06-19 14:00:02","Orange Blossom Trail","14 mins"
"2024-06-19 14:00:02","2024-06-19 14:00:02","Orange Ave","17 mins"
"2024-06-19 14:00:02","2024-06-19 14:00:02","Colonial Dr","20 mins"
"2024-06-19 09:00:02","2024-06-19 09:00:02","Colonial Dr","16 mins"
"2024-06-19 09:00:02","2024-06-19 09:00:02","Orange Blossom Trail","13 mins"
"2024-06-19 09:00:02","2024-06-19 09:00:02","Orange Ave","17 mins"
"2024-06-19 04:00:03","2024-06-19 04:00:03","Colonial Dr","15 mins"
"2024-06-19 04:00:02","2024-06-19 04:00:02","Orange Blossom Trail","12 mins"
"2024-06-19 04:00:02","2024-06-19 04:00:02","Orange Ave","15 mins"
"2024-06-18 14:00:01","2024-06-18 14:00:01","Orange Blossom Trail","14 mins"
"2024-06-18 14:00:01","2024-06-18 14:00:01","Colonial Dr","21 mins"
"2024-06-18 14:00:00","2024-06-18 14:00:00","Orange Ave","17 mins"
"2024-06-18 09:00:01","2024-06-18 09:00:01","Colonial Dr","16 mins"
"2024-06-18 09:00:01","2024-06-18 09:00:01","Orange Ave","18 mins"
"2024-06-18 09:00:01","2024-06-18 09:00:01","Orange Blossom Trail","13 mins"
"2024-06-18 04:00:02","2024-06-18 04:00:02","Colonial Dr","16 mins"
"2024-06-18 04:00:01","2024-06-18 04:00:01","Orange Ave","16 mins"
"2024-06-18 04:00:01","2024-06-18 04:00:01","Orange Blossom Trail","12 mins"
"2024-06-17 14:00:03","2024-06-17 14:00:03","Colonial Dr","19 mins"
"2024-06-17 14:00:02","2024-06-17 14:00:02","Orange Ave","18 mins"
"2024-06-17 14:00:02","2024-06-17 14:00:02","Orange Blossom Trail","14 mins"
"2024-06-17 10:12:31","2024-06-17 10:12:31","Colonial Dr","16 mins"
"2024-06-17 10:12:31","2024-06-17 10:12:31","Orange Blossom Trail","13 mins"
"2024-06-17 10:12:31","2024-06-17 10:12:31","Orange Ave","16 mins"
"2024-06-17 10:12:21","2024-06-17 10:12:21","Orange Ave","16 mins"
"2024-06-17 10:12:21","2024-06-17 10:12:21","Colonial Dr","15 mins"
"2024-06-17 10:12:21","2024-06-17 10:12:21","Orange Blossom Trail","13 mins"
"2024-06-17 10:11:04","2024-06-17 10:11:04","Orange Ave","17 mins"
"2024-06-17 10:11:04","2024-06-17 10:11:04","Colonial Dr","15 mins"
"2024-06-17 10:11:04","2024-06-17 10:11:04","Orange Blossom Trail","13 mins"
"2024-06-17 10:08:25","2024-06-17 10:08:25","Orange Blossom Trail","13 mins"
"2024-06-17 10:08:25","2024-06-17 10:08:25","Orange Ave","17 mins"
"2024-06-17 10:08:25","2024-06-17 10:08:25","Colonial Dr","16 mins"
